,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
0,28 Years Later: The Bone Temple,"28 Years Later: The Bone Temple is an upcoming post-apocalyptic horror film directed by Nia DaCosta and written by Alex Garland.[2] It was shot back-to-back with its predecessor 28 Years Later (2025), and serves as the fourth installment overall in the 28 Days Later film series. The film stars Aaron Taylor-Johnson, Jack O'Connell, and Cillian Murphy.",Nia DaCosta,Alex Garland,"Danny Boyle, Alex Garland, Andrew Macdonald, Peter Rice, Bernie Bellew","Aaron Taylor-Johnson, Jack O'Connell, Cillian Murphy",Sean Bobbitt,"Catrin Hedström, Evan Schiff",16 January 2026,"United Kingdom, United States",English
1,Animal Friends,"Animal Friends is an upcoming American live action animated road film directed by Peter Atencio, and written by Kevin Burrows and Matt Mider. The film stars Ryan Reynolds, Jason Momoa, Vince Vaughn, Eric André, Addison Rae, Ellie Bamber, Rob Delaney, Lil Rel Howery, Dan Levy, and Aubrey Plaza.",Peter Atencio,"Kevin Burrows, Matt Mider","Cale Boyter, Peter Atencio","Ryan Reynolds, Jason Momoa, Vince Vaughn, Eric André, Addison Rae, Ellie Bamber, Rob Delaney, Lil Rel Howery, Dan Levy, Aubrey Plaza",Magdalena Górka,David Heinz,"May 1, 2026",United States,English
2,Avengers: Doomsday,"Avengers: Doomsday is an upcoming American superhero film based on the Marvel Comics superhero team the Avengers. Produced by Marvel Studios and AGBO, and distributed by Walt Disney Studios Motion Pictures, it is intended to be the fifth installment in the Avengers film series following Avengers: Endgame (2019) and the 39th film in the Marvel Cinematic Universe (MCU). Directed by Anthony and Joe Russo and written by Michael Waldron and Stephen McFeely, the film features an ensemble cast including Chris Hemsworth, Vanessa Kirby, Anthony Mackie, Sebastian Stan, Letitia Wright, Paul Rudd, Wyatt Russell, Tenoch Huerta Mejía, Ebon Moss-Bachrach, Simu Liu, Florence Pugh, Kelsey Grammer, Lewis Pullman, Danny Ramirez, Joseph Quinn, David Harbour, Winston Duke, Hannah John-Kamen, Tom Hiddleston, Patrick Stewart, Ian McKellen, Alan Cumming, Rebecca Romijn, James Marsden, Channing Tatum, Pedro Pascal, and Robert Downey Jr. In the film, the Avengers, Wakandans, Fantastic Four, New Avengers, and the X-Men team up to face Doctor Doom (Downey).","Anthony Russo, Joe Russo","Michael Waldron, Stephen McFeely","Kevin Feige, Anthony Russo, Joe Russo","Chris Hemsworth, Vanessa Kirby, Anthony Mackie, Sebastian Stan, Letitia Wright, Paul Rudd, Wyatt Russell, Tenoch Huerta Mejía, Ebon Moss-Bachrach, Simu Liu, Florence Pugh, Kelsey Grammer, Lewis Pullman, Danny Ramirez, Joseph Quinn, David Harbour, Winston Duke, Hannah John-Kamen, Tom Hiddleston, Patrick Stewart, Ian McKellen, Alan Cumming, Rebecca Romijn, James Marsden, Channing Tatum, Pedro Pascal, Robert Downey Jr.",Newton Thomas Sigel,Jeffrey Ford,"December 18, 2026",United States,English
3,Bitter Christmas,"Bitter Christmas (Spanish: Amarga Navidad) is an upcoming Spanish comedy film directed by Pedro Almodóvar. Its cast features Bárbara Lennie, Victoria Luengo, Quim Gutiérrez, Leonardo Sbaraglia, Patrick Criado, Aitana Sánchez-Gijón, and Milena Smit.",Pedro Almodóvar,,,"Bárbara Lennie, Victoria Luengo, Quim Gutiérrez, Leonardo Sbaraglia, Patrick Criado, Aitana Sánchez-Gijón, Milena Smit",Pau Esteve Birba,,2026,Spain,Spanish
4,The Bride!,"The Bride! is an upcoming American monster film written, directed, and produced by Maggie Gyllenhaal and starring Jessie Buckley, Christian Bale, Penélope Cruz, Peter Sarsgaard, and Annette Bening. The film draws inspiration from James Whale's 1935 film Bride of Frankenstein, itself adapted from Mary Shelley's 1818 novel Frankenstein.",Maggie Gyllenhaal,Maggie Gyllenhaal,"Maggie Gyllenhaal, Osnat Handelsman-Keren, Talia Kleinhendler, Emma Tillinger Koskoff","Jessie Buckley, Christian Bale, Penélope Cruz, Peter Sarsgaard, Julianne Hough, John Magaro, Annette Bening, Jake Gyllenhaal",Lawrence Sher,Dylan Tichenor,"March 6, 2026",United States,English
5,Coyote vs. Acme,"Coyote vs. Acme is an upcoming American live-action animated legal comedy film directed by Dave Green with a screenplay by Samy Burch from a story by Burch, James Gunn, and Jeremy Slater.[1] The film is based on the 1990 The New Yorker magazine article ""Coyote v. Acme"" by Ian Frazier, which itself is based on the cartoon character Wile E. Coyote and the Acme Corporation from the Looney Tunes and Merrie Melodies series of cartoons. The film's cast includes John Cena, Will Forte, Lana Condor, P. J. Byrne, Tone Bell, Martha Kelly, and the voice of Eric Bauza.",Dave Green,,"James Gunn, Chris DeFaria","Will Forte, John Cena, Lana Condor, P. J. Byrne, Tone Bell, Martha Kelly, Eric Bauza",Brandon Trost,"Carsten Kurpanek, [, 3, ]",2026,United States,English
6,Crime 101,"Crime 101 is an upcoming crime film directed by Bart Layton, who co-wrote the screenplay with Peter Straughan. It is an adaptation of the Don Winslow novella Crime 101 and stars Chris Hemsworth, Mark Ruffalo, Barry Keoghan, Halle Berry and Monica Barbaro.",Bart Layton,,"Chris Hemsworth, Ben Grayson, Bart Layton, Eric Fellner, Tim Bevan, Dimitri Doganis, Derrin Schlesinger, Shane Salerno","Chris Hemsworth, Mark Ruffalo, Barry Keoghan, Halle Berry, Monica Barbaro, Corey Hawkins, Tate Donovan, Devon Bostick, Jennifer Jason Leigh, Nick Nolte",Erik Wilson,Jacob Secher Schulsinger,"February 13, 2026","United States, United Kingdom",English
7,The Dog Stars,"The Dog Stars is an upcoming post-apocalyptic science fiction film directed by Ridley Scott, and written by Mark L. Smith and Christopher Wilkinson, based on the 2012 novel by Peter Heller.",Ridley Scott,"Mark L. Smith, Christopher Wilkinson","Ridley Scott, Michael Pruss, Cliff Roberts, Mark L. Smith","Jacob Elordi, Margaret Qualley, Josh Brolin, Guy Pearce, Benedict Wong",Erik Messerschmidt,,"March 27, 2026","United States, United Kingdom",English
8,Flowervale Street,"Flowervale Street is scheduled to be released by Warner Bros. Pictures in the United States on August 14, 2026.",David Robert Mitchell,David Robert Mitchell,"David Robert Mitchell, J. J. Abrams, Hannah Minghella, Matt Jackson, Tommy Harper","Anne Hathaway, Ewan McGregor, Maisy Stella, Christian Convery",Mike Gioulakis,John Axelrad,"August 14, 2026",United States,English
9,Girls und Panzer: Motto Love Love Sakusen Desu!,"A film adaptation of the manga was announced in March 2025, with Shimoda, Usui, and Kimura joining the project, and the reveal of other staff members who would serve as original character designers, chief animation directors, and composer. That month, Mai Fuchigami,  Ai Kayano, Mami Ozaki, Ikumi Nakagami, and Yuka Iguchi were set to reprise their voice roles from the franchise.","Masami Shimoda, Takahiko Usui, [, a, ]","Noboru Kimura, [, b, ]",,,,,2026,Japan,Japanese
