title,description,directed_by,produced_by,starring,country,language,release_date
1-800-On-Her-Own,"Robyn Bahr of The Hollywood Reporter wrote, ""You know you're wasting time on a documentary when you feel the urge to Wikipedia its subject while you're in the middle of watching an entire feature film devoted to them. And once I had finished Dana Flor's tedious music biodoc 1-800-ON-HER-OWN, I oddly felt like I knew even less about folk-rock legend Ani DiFranco than I did going into it.""[1]",Dana Flor,"Amy Hobby, Emily Wachtel",No data,United States,English,10-06-2024
The 4:30 Movie,"The 4:30 Movie is a 2024 American semi-autobiographical coming-of-age comedy film written and directed by Kevin Smith. It stars Austin Zajur, Nicholas Cirillo, Reed Northrup, Siena Agudong, and Ken Jeong. The story is loosely based on Smith's experiences sneaking into movie theaters as a teenager and his earliest romantic endeavors.[4] It was released on September 13, 2024, by Saban Films.",Kevin Smith,"Joshua Bachove, Liz Destro, Jordan Monsanto","Austin Zajur, Nicholas Cirillo, Reed Northrup, Siena Agudong, Ken Jeong",United States,English,13-09-2024
5D,"5D is a 2024 Indian Kannada-language suspense thriller film co-written and directed by S. Narayan. The film was produced by Swathi Kumar under the banner One To Hundred.[3] The film stars himself, Aditya and Aditi Prabhudeva.",S. Narayan,Swathi Kumar,"Aditya, Aditi Prabhudeva, S. Narayan",India,Kannada,16-02-2024
7 Beats per Minute,"The film premiered on March 8, 2024, at SXSW,[3] and had its Canadian premiere on April 26 at the Hot Docs Canadian International Documentary Festival.[4]",Yuqi Kang,Ina Fichman,Jessea Lu,Canada,"English, Mandarin",08-03-2024
7/G,7/G is a 2024 Indian Tamil-language horror film directed by Haroon and starring Sonia Agarwal and Smruthi Venkat.[1] The film was released on 5 July 2024 to mixed-to-negative reviews.[2][3],Haroon,Haroon,"Sonia Agarwal, Smruthi Venkat, Siddharth Vipin, Subramaniam Siva",India,Tamil,05-07-2024
8 Don 75,"8 Don 75, Fakta Ichchhashakti Havi! (transl. 8 Don 75, All it takes is willpower!) is a 2024 Indian Marathi-language drama film co-written and directed by Sushrut Bhagwat.[2][3] Produced by Vikas Hande, Lokesh Mangade and Sudhir Kolte under Uddaharnarth Nirmit. The film stars Shubhankar Tawde, Sanskruti Balgude, Sanjay Mone, Sharvari Pillaai and Pushkar Shrotri.[4] The songs were composed by Avadhoot Gupte.[5] The story revolves around the rare subject of body donation.[citation needed]",Sushrut Bhagwat,"Vikas Hande, Lokesh Mangade, Sudhir Kolte","Shubhankar Tawde, Sanskruti Balgude, Sanjay Mone, Anand Ingale, Pushkar Shrotri",India,Marathi,19-01-2024
8 Views of Lake Biwa,"On the shimmering shores of Europe's otherworld, two young girls, Hanake and her best friend, talk about their first love interest while watching the yachts sailing toward Kyoto. Nevertheless, the magic is fading in their isolated fishing village as they deal with a recent disaster. It is clear that intimacy alone will not help them process their loss.[8]",Marko Raat,"Ivo Felt, Dora Nedeczky",Elina Masing,"Estonia, Finland",Estonian,31-01-2024
9 Windows,"Liza, a recent graduate in Law and Information Technology, is on the cusp of joining the FBI. On the day of her graduation, she and her parents are en route to a celebratory dinner when tragedy strikes, a truck collides with their car, killing her parents and leaving Liza paralyzed from the waist down. Eighteen months later, Liza lives alone, grappling with survivor's guilt and depression. Her only regular human contact is with Jeff, her physical therapist, who visits her for sessions aimed at improving her mobility and mental well-being.",Lou Simon,"Bryce DiCristofalo, Lou Simon, Todd Slater","William Forsythe, Diana Garle, Jason Hignite, Christopher Millan, Michael Paré",United States,English,15-10-2024
10 Lives,"10 Lives is a 2024 animated fantasy comedy film directed by Chris Jenkins from a screenplay by Jenkins, Karen Wengrod and Ken Cinnamon. It was co-produced by Canada, United Kingdom, France and United States. The film features the voices of Mo Gilligan, Simone Ashley, Sophie Okonedo, Zayn Malik, Dylan Llewellyn, Jeremy Swift, Tabitha Cross and Bill Nighy. The film is about a pampered housecat Beckett (Gilligan) who totally takes for granted the lucky hand he has been dealt; loved and rescue by Rose, a kind-hearted and passionate student focused on saving the world's bee population after his ninth life is about to loose.",Chris Jenkins,"Adrian Politowski, Martin Metz, Guy Collins, Sean Feeney, Valerie d'Auteuil, Andre Rouleau, Yann Zenou","Mo Gilligan, Simone Ashley, Sophie Okonedo, Zayn Malik, Dylan Llewellyn, Jeremy Swift, Tabitha Cross, Bill Nighy","United Kingdom, Canada, France, United States",English,20-01-2024
11 Rebels,"11 Rebels (Japanese: 十一人の賊軍) is a 2024 Japanese samurai, period action film directed by Kazuya Shiraishi, starring Takayuki Yamada and Taiga Nakano.[2][3] The film had its world premiere at the 37th Tokyo International Film Festival as opening film with screening on October 28, 2024.[4]",Kazuya Shiraishi,Daisuke Takahashi,"Takayuki Yamada, Taiga Nakano, Hiroshi Tamaki, Sadao Abe",Japan,Japanese,28-10-2024
12 Gaun,"12 Gaun   (Nepali: १२ गाउँ) is a 2024 Nepali action drama film directed by Biraj Bhatta. Written by Santosh Sarkar, the film is produced by Saraswati Bhatta under the banner of Biraj Bhatt Film Production. The film was released on October 10, 2024, during the festival of Dashain.[3] It stars Biraj Bhatta, Samir Bhatt, Sonu Chandrapal, Deeya Maskey, Murali Dhar, Sanisha Bhattarai, Naren Khadka, and Nancy Khadka. It is the debut film of Samir Bhatt son of Biraj Bhatt, Sanisha Bhattarai, and Nancy Khadka, as well as the Nepali debut of Indian actress Sonu Chandrapal.[4]",Biraj Bhatta,Saraswati Bhatta,"Biraj Bhatta, Samir Bhatt, Sonu Chandrapal, Deeya Maskey, Murali Dhar, Sanisha Bhattarai, Nancy Khadka",Nepal,Nepali,10-10-2024
14,"14 is a 2024 Indian Telugu-language thriller film written and directed by Lakshmi Srinivas. The film stars Noel Sean, Ram Rathan Reddy, and Vishakha Dhiman in the lead roles. The film was produced by Subbarao Rayana and Siva Krishna Nichenametla under the banner of Royal Pictures. The film was released on 5 July 2024.",Lakshmi Srinivas,"Subbarao Rayana, Siva Krishna Nichhena Metla, Srinivas D","Noel Sean, Ram Rathan Reddy, Vishakha Dhiman",India,Telugu,05-07-2024
18×2 Beyond Youthful Days,"18×2 Beyond Youthful Days is a 2024 romance film directed by Michihito Fujii and produced by Chang Chen. Starring Greg Hsu and Kaya Kiyohara, alongside an ensemble cast including Joseph Chang, Shunsuke Michieda, Haru Kuroki, Hitomi Kuroki, and Yutaka Matsushige, the film follows a recently fired Taiwanese video game developer (Hsu) on a solo trip to Japan, reminiscing about a past romantic entanglement with a Japanese backpacker (Kiyohara) that never blossomed into a relationship.",Michihito Fujii,Chang Chen,"Greg Hsu, Kaya Kiyohara","Taiwan, Japan","Mandarin, Japanese",14-02-2024
The 21,"Between December 2014 and January 2015, 21 men were kidnapped, held captive and tortured by ISIS terrorists in Libya. They were given a chance to obtain freedom by converting to Islam, but all of them refused to renounce Christianity. Eventually, they were beheaded on a Libyan beach, and their brutal execution was filmed and published by ISIS in a 5-minute video.[5]",Tod Polson,Mandi Hart,No data,"Egypt, United States, United Kingdom",No data,13-08-2024
35 Chinna Katha Kaadu,"35 Chinna Katha Kaadu (transl. 35 Not a small story) is a 2024 Indian Telugu-language comedy drama film written and directed by Nanda Kishore Emani in his directorial debut.[1] The film features Nivetha Thomas, Arundev Pothula, Vishwadev Rachakonda and Priyadarshi Pulikonda in lead roles.[2] The film was released on 6 September 2024 to positive reviews from critics.[3]",Nanda Kishore Emani,"Srujan Yarabolu, Siddharth Rallapalli","Nivetha Thomas, Arundev Pothula, Vishwadev Rachakonda, Priyadarshi Pulikonda",India,Telugu,06-09-2024
40 Acres,"The film premiered at the Toronto International Film Festival on September 6, 2024.[2]",R. T. Thorne,Jennifer Holness,"Danielle Deadwyler, Kataem O'Connor, Michael Greyeyes, Milcania Diaz-Rojas, Leenah Robinson",Canada,English,06-09-2024
The 47,"The 47 (Catalan: El 47) is a 2024 Spanish historical drama film directed by Marcel Barrena and written by Barrena and Alberto Marini. It stars Eduard Fernández alongside Clara Segura and Zoe Bonafonte, exploring the hijacking of a bus in 1978 Barcelona as a form of civil disobedience.",Marcel Barrena,"Laura Fdez. Espeso, Javier Méndez","Eduard Fernández, Clara Segura, Zoe Bonafonte, Salva Reina, Óscar de la Fuente, Betsy Túrnez, Vicente Romero, Carlos Cuevas, David Verdaguer",Spain,"Catalan, Spanish",06-09-2024
Squid Game,"""50 YouTubers Fight for $1,000,000"" is a YouTube video by American YouTuber Jimmy Donaldson, known on the platform as MrBeast. The video, described by Donaldson as his ""biggest video ever,"" featured fifty YouTubers from around the world competing to stay inside a large glass cube for as long as possible while completing challenges.[1] It received over 70 million views in 24 hours, making it his most-viewed video in that time frame.",No data,Jimmy Donaldson,No data,United States,English,13-07-2024
72 Hours,"It was released in limited theaters on November 1, 2024.",Christian Sesma,"Manoj Narender Madnani, Ojan Missaghi, David Wachs","Cam Gigandet, Sam Trammell, Pierson Fodé, Nicky Whelan, Jessica Serfaty, Max Amini",United States,English,01-11-2024
78 Days,"The cast also includes Goran Bogdan as the girls' father Stefan who is drafted into military service, Jelena Đokić as their mother Nada, and Maša Ćirović as Mladen's younger sister Lela who befriends Tijana despite their older siblings' conflicts,[1] as well as Danijel Cvetkovic, Biljana Konstantinovic, Mile Cvijovic, Ivana Simovic and Andrija Martinovic in supporting roles.",Emilija Gašić,"Miloš Ivanović, Andrijana Sofranic Sucur","Milica Gicić, Tamara Gajović, Viktorija Vasiljević, Pavle Čemerikić, Goran Bogdan, Jelena Đokić",Serbia,Serbian,29-01-2024
100 Litres of Gold,"Taina and Pirkko, two sisters known for being the best sahti brewers in town, are asked to make 100 litres for their other sister Päivi's wedding. However, Taina and Pirkko live with alcoholism, in part due to the guilt they feel from a car crash that injured Päivi many years earlier. After working to brew the ale, they then drink all of it shortly before the wedding, and – while suffering the resulting hangover – try to find ways to get another 100 litres in time.[2]",Teemu Nikki,Jani Pösö,"Elina Knihtilä, Pirjo Lonka, Ville Tiihonen, Jari Pehkonen, Ria Kataja, Pertti Sveholm, Elmer Bäck, Jakob Öhrman","Finland, Italy",Finnish,24-10-2024
