title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language,Unnamed: 0.1,Unnamed: 0
1-800-On-Her-Own,"Robyn Bahr of The Hollywood Reporter wrote, ""You know you're wasting time on a documentary when you feel the urge to Wikipedia its subject while you're in the middle of watching an entire feature film devoted to them. And once I had finished Dana Flor's tedious music biodoc 1-800-ON-HER-OWN, I oddly felt like I knew even less about folk-rock legend Ani DiFranco than I did going into it.""[1]",Dana Flor,,"Amy Hobby, Emily Wachtel",,,Kristina Motwani,"June 10, 2024(Tribeca Festival)",United States,English,,
The 4:30 Movie,"The 4:30 Movie is a 2024 American semi-autobiographical coming-of-age comedy film written and directed by Kevin Smith. It stars Austin Zajur, Nicholas Cirillo, Reed Northrup, Siena Agudong, and Ken Jeong. The story is loosely based on Smith's experiences sneaking into movie theaters as a teenager and his earliest romantic endeavors.[4] It was released on September 13, 2024, by Saban Films.",Kevin Smith,Kevin Smith,"Joshua Bachove, Liz Destro, Jordan Monsanto","Austin Zajur, Nicholas Cirillo, Reed Northrup, Siena Agudong, Ken Jeong",Yaron Levy,Kevin Smith,"September 13, 2024",United States,English,,
5D,"5D is a 2024 Indian Kannada-language suspense thriller film co-written and directed by S. Narayan. The film was produced by Swathi Kumar under the banner One To Hundred.[3] The film stars himself, Aditya and Aditi Prabhudeva.",S. Narayan,,Swathi Kumar,"Aditya, Aditi Prabhudeva, S. Narayan",Kumar Gowda SK,Shivu Yadav,16 February 2024,India,Kannada,,
7 Beats per Minute,"The film premiered on March 8, 2024, at SXSW,[3] and had its Canadian premiere on April 26 at the Hot Docs Canadian International Documentary Festival.[4]",Yuqi Kang,Yuqi Kang,Ina Fichman,Jessea Lu,"Kalina Bertin, Alexandre Lampron, Scott Alexander Ruderman",Dominique Champagne,"March 8, 2024(SXSW)",Canada,"English, Mandarin",,
7/G,7/G is a 2024 Indian Tamil-language horror film directed by Haroon and starring Sonia Agarwal and Smruthi Venkat.[1] The film was released on 5 July 2024 to mixed-to-negative reviews.[2][3],Haroon,Haroon,Haroon,"Sonia Agarwal, Smruthi Venkat, Siddharth Vipin, Subramaniam Siva",Kannaa,Biju. V. Don Bosco,5 July 2024,India,Tamil,,
8 Don 75,"8 Don 75, Fakta Ichchhashakti Havi! (transl. 8 Don 75, All it takes is willpower!) is a 2024 Indian Marathi-language drama film co-written and directed by Sushrut Bhagwat.[2][3] Produced by Vikas Hande, Lokesh Mangade and Sudhir Kolte under Uddaharnarth Nirmit. The film stars Shubhankar Tawde, Sanskruti Balgude, Sanjay Mone, Sharvari Pillaai and Pushkar Shrotri.[4] The songs were composed by Avadhoot Gupte.[5] The story revolves around the rare subject of body donation.[citation needed]",Sushrut Bhagwat,"Sharvani Pillai, Sushrut Bhagwat, Sanjay Mone","Vikas Hande, Lokesh Mangade, Sudhir Kolte","Shubhankar Tawde, Sanskruti Balgude, Sanjay Mone, Anand Ingale, Pushkar Shrotri",Yogesh Rajguru,Rajesh Rao,19 January 2024,India,Marathi,,
8 Views of Lake Biwa,"On the shimmering shores of Europe's otherworld, two young girls, Hanake and her best friend, talk about their first love interest while watching the yachts sailing toward Kyoto. Nevertheless, the magic is fading in their isolated fishing village as they deal with a recent disaster. It is clear that intimacy alone will not help them process their loss.[8]",Marko Raat,,"Ivo Felt, Dora Nedeczky",Elina Masing,"Sten-Johan Lill, [, 1, ]",Jaak Ollino Jr.,"January 31, 2024(IFFR)","Estonia, Finland",Estonian,,
9 Windows,"Liza, a recent graduate in Law and Information Technology, is on the cusp of joining the FBI. On the day of her graduation, she and her parents are en route to a celebratory dinner when tragedy strikes, a truck collides with their car, killing her parents and leaving Liza paralyzed from the waist down. Eighteen months later, Liza lives alone, grappling with survivor's guilt and depression. Her only regular human contact is with Jeff, her physical therapist, who visits her for sessions aimed at improving her mobility and mental well-being.",Lou Simon,Lou Simon,"Bryce DiCristofalo, Lou Simon, Todd Slater","William Forsythe, Diana Garle, Jason Hignite, Christopher Millan, Michael Paré",Mauricio Vega,,"October 15, 2024",United States,English,,
10 Lives,"10 Lives is a 2024 animated fantasy comedy film directed by Chris Jenkins from a screenplay by Jenkins, Karen Wengrod and Ken Cinnamon. It was co-produced by Canada, United Kingdom, France and United States. The film features the voices of Mo Gilligan, Simone Ashley, Sophie Okonedo, Zayn Malik, Dylan Llewellyn, Jeremy Swift, Tabitha Cross and Bill Nighy. The film is about a pampered housecat Beckett (Gilligan) who totally takes for granted the lucky hand he has been dealt; loved and rescue by Rose, a kind-hearted and passionate student focused on saving the world's bee population after his ninth life is about to loose.",Chris Jenkins,,"Adrian Politowski, Martin Metz, Guy Collins, Sean Feeney, Valerie d'Auteuil, Andre Rouleau, Yann Zenou","Mo Gilligan, Simone Ashley, Sophie Okonedo, Zayn Malik, Dylan Llewellyn, Jeremy Swift, Tabitha Cross, Bill Nighy",Olaf Skjenna (layout),Mirenda Ouellet,"January 20, 2024(Sundance)","United Kingdom, Canada, France, United States",English,,
11 Rebels,"11 Rebels (Japanese: 十一人の賊軍) is a 2024 Japanese samurai, period action film directed by Kazuya Shiraishi, starring Takayuki Yamada and Taiga Nakano.[2][3] The film had its world premiere at the 37th Tokyo International Film Festival as opening film with screening on October 28, 2024.[4]",Kazuya Shiraishi,,Daisuke Takahashi,"Takayuki Yamada, Taiga Nakano, Hiroshi Tamaki, Sadao Abe",Naoya Ikeda,Hitami Kato,28 October 2024(TIFF),Japan,Japanese,,
